permno,date,RET,PRC,SHROUT,Mkt,eq_weight,eq_return,val_weight,val_return,Year,Month,strategy_rule
10078,198602,,,,,,,,,1986,2,0
10078,198603,,-14.5625,27108,394760.25,,,,,1986,3,0
10078,198604,0.111588,-16.1875,27108,438810.75,,,,,1986,4,0
10078,198605,0.111969,18,27108,487944,,,,,1986,5,0
10078,198606,-0.118056,15.875,27179,431466.63,,,,,1986,6,0
10078,198607,-0.03937,15.25,27179,414479.75,,,,,1986,7,0
10078,198608,-0.07377,14.125,27179,383903.38,,,,,1986,8,0
10078,198609,-0.00885,14,27239,381346,,,,,1986,9,0
10078,198610,0.348214,18.875,27239,514136.13,,,,,1986,10,0
10078,198611,0.145695,21.625,27239,589043.38,,,,,1986,11,0
10078,198612,0.109827,24,32143,771432,,,,,1986,12,0
10078,198701,0.135417,27.25,32143,875896.75,,,,,1987,1,0
10078,198702,0.036697,28.25,32143,908039.75,,,,,1987,2,0
10078,198703,0.09292,30.875,33414,1031657.25,,,,,1987,3,0
10078,198704,0.165992,36,33414,1202904,,,,,1987,4,0
10078,198705,0.208333,43.5,33414,1453509,,,,,1987,5,0
10078,198706,-0.063218,40.75,34096,1389412,,,,,1987,6,0
10078,198707,-0.150307,34.625,34096,1180574,,,,,1987,7,0
10078,198708,0.119134,38.75,34096,1321220,,,,,1987,8,0
10078,198709,-0.064516,36.25,34177,1238916.25,,,,,1987,9,0
10078,198710,-0.068966,33.75,34177,1153473.75,,,,,1987,10,0
10078,198711,-0.17037,28,34177,956956,,,,,1987,11,0
10078,198712,0.196429,33.5,34409,1152701.5,,,,,1987,12,0
10078,198801,0,33.5,34409,1152701.5,,,,,1988,1,0
10078,198802,-0.022388,32.75,34409,1126894.75,,,,,1988,2,0
10078,198803,0.091603,35.75,34940,1249105,,,,,1988,3,0
10078,198804,-0.013986,35.25,34940,1231635,,,,,1988,4,0
10078,198805,-0.042553,33.75,34940,1179225,,,,,1988,5,0
10078,198806,0.111111,37.5,36196,1357350,,,,,1988,6,0
10078,198807,-0.023333,36.625,36196,1325678.5,,,,,1988,7,0
10078,198808,0.054608,38.625,36196,1398070.5,,,,,1988,8,0
10078,198809,-0.087379,35.25,36926,1301641.5,,,,,1988,9,0
10078,198810,-0.191489,28.5,36926,1052391,,,,,1988,10,0
10078,198811,-0.039474,27.375,36926,1010849.25,,,,,1988,11,0
10078,198812,0.214612,16.625,75886,1261604.75,,,,,1988,12,0
10078,198901,0.142857,19,75886,1441834,,,,,1989,1,0
10078,198902,-0.065789,17.75,75886,1346976.5,,,,,1989,2,0
10078,198903,-0.091549,16.125,80505,1298143.13,,,,,1989,3,0
10078,198904,0.062016,17.125,80505,1378648.13,,,,,1989,4,0
10078,198905,0.284672,22,80505,1771110,,,,,1989,5,0
10078,198906,-0.227273,17,83963,1427371,,,,,1989,6,0
10078,198907,-0.147059,14.5,83963,1217463.5,,,,,1989,7,0
