Year,Month,permno,count,Mkt,Mkt-1,eq_return,val_return
1984,3,"[10604, 11607, 11703, 11754, 11850, 12060, 12458, 12490, 13119, 14593, 15560, 15720, 17144, 18163, 18403, 19350, 19692, 22111, 22592, 23077, 24459, 24766, 26083, 26112, 26438, 26542, 27633, 27828, 27887, 30681, 32054, 34817, 37875, 38914, 39917, 40061, 40483, 41080, 43916, 44062, 45866, 47079, 47837, 48071, 48960, 49154, 49411, 52090, 52564, 54114, 54391, 55976, 57681, 57817, 57947, 59061, 59184, 59328, 59425, 60572, 60628, 60839, 60871, 61241, 61399, 61807, 62069, 64013, 64346, 65569, 66093, 74617, 80814, 83601]",-,289375663.6,,,
1984,4,"[10604, 11607, 11703, 11754, 11850, 12060, 12458, 12490, 13119, 14593, 15560, 15720, 17144, 18163, 18403, 19350, 19692, 22111, 22592, 23077, 24459, 24766, 26083, 26112, 26438, 26542, 27633, 27828, 27887, 30681, 32054, 34817, 37875, 38914, 39917, 40061, 40483, 41080, 43916, 44062, 45866, 47079, 47837, 48071, 48960, 49154, 49411, 52090, 52564, 54114, 54391, 55976, 57681, 57817, 57947, 59061, 59184, 59328, 59425, 60572, 60628, 60839, 60871, 61241, 61399, 61807, 62069, 64013, 64346, 65569, 66093, 74617, 80814, 83601]",74,294996389,289375663.6,,
1984,5,"[10604, 11607, 11703, 11754, 11850, 12060, 12458, 12490, 13119, 14593, 15560, 15720, 17144, 18163, 18403, 19350, 19692, 22111, 22592, 23077, 24459, 24766, 26083, 26112, 26438, 26542, 27633, 27828, 27887, 30681, 32054, 34817, 37875, 38914, 39917, 40061, 40483, 41080, 43916, 44062, 45866, 47079, 47837, 48071, 48960, 49154, 49411, 52090, 52564, 54114, 54391, 55976, 57681, 57817, 57947, 59061, 59184, 59328, 59425, 60572, 60628, 60839, 60871, 61241, 61399, 61807, 62069, 64013, 64346, 65569, 66093, 74617, 80814, 83601]",74,279035111.9,294996389,,
1984,6,"[10604, 11607, 11703, 11754, 11850, 12060, 12458, 12490, 13119, 14593, 15560, 15720, 17144, 18163, 18403, 19350, 19692, 22111, 22592, 23077, 24459, 24766, 26083, 26112, 26438, 26542, 27633, 27828, 27887, 30681, 32054, 34817, 37875, 38914, 39917, 40061, 40483, 41080, 43916, 44062, 45866, 47079, 47837, 48071, 48960, 49154, 49411, 52090, 52564, 54114, 54391, 55976, 57681, 57817, 57947, 59061, 59184, 59328, 60572, 60628, 60839, 60871, 61241, 61399, 61807, 62069, 64013, 64346, 65569, 66093, 74617, 80814, 83601]",73,282177502.7,279035111.9,,
1984,7,"[10604, 11607, 11703, 11754, 11850, 12060, 12458, 12490, 13119, 14593, 15560, 15720, 17144, 18163, 18403, 19350, 19692, 22111, 22592, 23077, 24459, 24766, 26083, 26112, 26438, 26542, 27633, 27828, 27887, 30681, 32054, 34817, 37875, 38914, 39917, 40061, 40483, 41080, 43916, 44062, 45866, 47079, 47837, 48071, 48960, 49154, 49411, 52090, 52564, 54114, 54391, 55976, 57681, 57817, 57947, 59061, 59184, 59328, 60572, 60628, 60839, 60871, 61241, 61399, 61807, 62069, 64013, 64346, 65569, 66093, 74617, 80814, 83601]",73,279847406.7,282177502.7,,
1984,8,"[10604, 11607, 11703, 11754, 11850, 12060, 12458, 12490, 13119, 14593, 15560, 15720, 17144, 18163, 18403, 19350, 19692, 22111, 22592, 23077, 24459, 24766, 26083, 26112, 26438, 26542, 27633, 27828, 27887, 30681, 32054, 34817, 37875, 38914, 39917, 40061, 40483, 41080, 43916, 44062, 45866, 47079, 47837, 48071, 48960, 49154, 49411, 52090, 52564, 54114, 54391, 55976, 57681, 57817, 57947, 59061, 59184, 59328, 60572, 60628, 60839, 60871, 61241, 61399, 61807, 62069, 64013, 64346, 65569, 66093, 74617, 80814, 83601]",73,310309722.2,279847406.7,,
1984,9,"[10604, 11607, 11703, 11754, 11850, 12060, 12458, 12490, 13119, 14593, 15560, 15720, 17144, 18163, 18403, 19350, 19692, 22111, 22592, 23077, 24459, 24766, 26083, 26112, 26438, 26542, 27633, 27828, 27887, 30681, 32054, 34817, 37875, 38914, 39917, 40061, 40483, 41080, 43916, 44062, 45866, 47079, 47837, 48071, 48960, 49154, 49411, 52090, 52564, 54114, 54391, 55976, 57681, 57817, 57947, 59061, 59184, 59328, 60572, 60628, 60839, 60871, 61241, 61399, 61807, 62069, 64013, 64346, 65569, 66093, 74617, 80814, 83601]",73,307731247.7,310309722.2,,
1984,10,"[10604, 11607, 11703, 11754, 11850, 12060, 12458, 12490, 13119, 14593, 15560, 15720, 17144, 18163, 18403, 19350, 19692, 22111, 22592, 23077, 24459, 24766, 26083, 26112, 26438, 26542, 27633, 27828, 27887, 30681, 32054, 34817, 37875, 38914, 39917, 40061, 40483, 41080, 43916, 44062, 45866, 47079, 47837, 48071, 48960, 49154, 49411, 52090, 52564, 54114, 54391, 55976, 57681, 57817, 57947, 59061, 59184, 59328, 60572, 60628, 60839, 60871, 61241, 61399, 61807, 62069, 64013, 64346, 65569, 66093, 74617, 80814, 83601]",73,307187394.1,307731247.7,,
1984,11,"[10604, 11607, 11703, 11754, 11850, 12060, 12458, 12490, 13119, 14593, 15560, 15720, 17144, 18163, 18403, 19350, 19692, 22111, 22592, 23077, 24459, 24766, 26083, 26112, 26438, 26542, 27633, 27828, 27887, 30681, 32054, 34817, 37875, 38914, 39917, 40061, 40483, 41080, 43916, 44062, 45866, 47079, 47837, 48071, 48960, 49154, 49411, 52090, 52564, 54114, 54391, 55976, 57681, 57817, 57947, 59061, 59184, 59328, 60628, 60839, 60871, 61241, 61399, 61807, 62069, 64013, 64346, 65569, 66093, 74617, 80814, 83601]",72,299351546.5,307187394.1,,
1984,12,"[10604, 11607, 11703, 11754, 11850, 12060, 12458, 12490, 13119, 14593, 15560, 15720, 17144, 18163, 18403, 19350, 19692, 22111, 22592, 23077, 24459, 24766, 26083, 26112, 26438, 26542, 27633, 27828, 27887, 30681, 32054, 34817, 37875, 38914, 39917, 40061, 40483, 41080, 43916, 44062, 45866, 47079, 47837, 48071, 48960, 49154, 49411, 52090, 52564, 54114, 54391, 55976, 57681, 57817, 57947, 59061, 59184, 59328, 60628, 60839, 60871, 61241, 61399, 61807, 62069, 64013, 64346, 65569, 66093, 67029, 74617, 80814, 83601]",73,303398188.3,299351546.5,,
